time,l,iteration
2019-11-26 16:51:20.500,1,0
2019-11-26 16:52:01.000,1,0
2019-11-26 16:53:31.500,1,0
2019-11-26 16:55:14.000,1,0
2019-11-26 16:54:54.000,1,0
2019-11-26 16:54:49.740,1,0
2019-11-26 16:52:11.500,1,0
2019-11-26 16:55:06.500,1,0
2019-11-26 16:56:23.740,0,0
2019-11-26 16:54:18.740,1,0
2019-11-26 16:57:39.500,1,0
2019-11-26 16:52:48.740,1,0
2019-11-26 16:55:10.240,1,0
2019-11-26 16:56:22.000,1,0
2019-11-26 16:51:27.240,1,0
2019-11-26 16:56:19.500,1,0
2019-11-26 16:55:13.000,1,0
2019-11-26 16:56:14.740,1,0
2019-11-26 16:51:01.500,1,0
2019-11-26 16:53:14.000,0,0
2019-11-26 16:54:27.240,1,0
2019-11-26 16:54:42.240,1,0
2019-11-26 16:51:55.000,0,0
2019-11-26 16:57:12.740,1,0
2019-11-26 16:56:38.000,1,0
2019-11-26 16:54:14.740,1,0
2019-11-26 16:56:45.240,1,0
2019-11-26 16:51:37.000,1,0
2019-11-26 16:57:16.740,1,0
2019-11-26 16:56:26.740,1,0
2019-11-26 16:57:08.500,1,0
2019-11-26 16:50:57.000,1,0
2019-11-26 16:55:12.240,1,0
2019-11-26 16:56:25.240,1,0
2019-11-26 16:57:10.000,0,0
2019-11-26 16:57:05.740,1,0
2019-11-26 16:53:30.500,1,0
2019-11-26 16:53:10.000,0,0
2019-11-26 16:54:23.740,1,0
2019-11-26 16:55:05.740,1,0
2019-11-26 16:57:22.000,0,0
2019-11-26 16:51:34.240,1,0
2019-11-26 16:55:06.240,1,0
2019-11-26 16:56:46.740,1,0
2019-11-26 16:57:01.500,0,0
2019-11-26 16:52:46.740,1,0
2019-11-26 16:52:21.500,1,0
2019-11-26 16:56:11.500,1,0
2019-11-26 16:54:41.740,1,0
2019-11-26 16:54:48.740,1,0
2019-11-26 16:52:23.500,1,0
2019-11-26 16:56:26.240,1,0
2019-11-26 16:53:19.240,0,0
2019-11-26 16:51:14.740,1,0
2019-11-26 16:53:28.740,1,0
2019-11-26 16:54:15.740,1,0
2019-11-26 16:56:11.740,1,0
2019-11-26 16:51:56.240,1,0
2019-11-26 16:54:58.500,1,0
2019-11-26 16:57:42.000,1,0
2020-01-03 16:15:30.240,0,0
2020-01-03 16:15:18.500,1,0
2020-01-03 16:15:08.000,1,0
2020-01-03 16:16:21.740,1,0
2020-01-03 16:15:57.500,1,0
2020-01-03 16:15:01.740,0,0
2020-01-03 16:16:18.000,0,0
2020-01-03 16:16:23.240,1,0
2020-01-03 16:20:23.000,0,0
2020-01-03 16:16:59.000,1,0
2020-01-03 16:20:22.500,0,0
2020-01-03 16:15:59.500,1,0
2020-01-03 16:21:02.240,1,0
2020-01-03 16:16:30.000,1,0
2020-01-03 16:16:47.500,1,0
2020-01-03 16:16:22.740,1,0
2020-01-03 16:17:14.000,0,0
2020-01-03 16:15:50.740,0,0
2020-01-03 16:21:22.240,0,0
2020-01-03 16:16:40.500,1,0
2020-01-03 16:21:19.740,0,0
2020-01-03 16:15:19.740,1,0
2020-01-03 16:21:09.000,1,0
2020-01-03 16:16:31.740,1,0
2020-01-03 16:20:18.740,0,0
2020-01-03 16:16:24.500,1,0
2020-01-03 16:16:35.000,1,0
2020-01-03 16:17:12.000,0,0
2020-01-03 16:16:31.000,1,0
2020-01-03 16:20:20.500,0,0
2020-01-03 16:16:55.000,1,0
2020-01-03 16:16:52.000,1,0
2020-01-03 16:16:06.500,1,0
2020-01-03 16:15:05.240,0,0
2020-01-03 16:15:51.740,0,0
2020-01-03 16:20:25.500,0,0
2020-01-03 16:21:06.240,0,0
2020-01-03 16:15:17.000,1,0
2020-01-03 16:17:10.240,1,0
2020-01-03 16:21:05.240,1,0
2020-01-03 16:15:54.000,1,0
2020-01-03 16:16:26.000,1,0
2020-01-03 16:15:55.500,1,0
2020-01-03 16:16:24.740,1,0
2020-01-03 16:15:58.740,1,0
2020-01-03 16:15:33.000,0,0
